month,symbol,side
2018-12,LLL,pierre_only
2018-12,LUMN,pierre_only
2018-12,META,pierre_only
2018-12,MRSH,pierre_only
2018-12,PSKY,pierre_only
2018-12,RTX,pierre_only
2018-12,RVTY,pierre_only
2018-12,SW,pierre_only
2018-12,TFC,pierre_only
2018-12,TT,pierre_only
2018-12,VTRS,pierre_only
2018-12,WTW,pierre_only
2019-01,ABC,hans_only
2019-01,ANTM,hans_only
2019-01,BBT,hans_only
2019-01,BF-B,hans_only
2019-01,BLL,hans_only
2019-01,BRK-B,hans_only
2019-01,CBS,hans_only
2019-01,COG,hans_only
2019-01,CTL,hans_only
2019-01,FB,hans_only
2019-01,FLT,hans_only
2019-01,HRS,hans_only
2019-01,JEC,hans_only
2019-01,LB,hans_only
2019-01,MMC,hans_only
2019-01,MYL,hans_only
2019-01,PKI,hans_only
2019-01,RE,hans_only
2019-01,SYMC,hans_only
2019-01,TMK,hans_only
2019-01,UTX,hans_only
2019-01,WLTW,hans_only
2019-01,WRK,hans_only
2019-01,AGN,pierre_only
2019-01,ARNC,pierre_only
2019-01,BALL,pierre_only
2019-01,BBWI,pierre_only
2019-01,BF/B,pierre_only
2019-01,BKR,pierre_only
2019-01,BRK/B,pierre_only
2019-01,COR,pierre_only
2019-01,CPAY,pierre_only
2019-01,CTRA,pierre_only
2019-01,DAY,pierre_only
2019-01,DOC,pierre_only
2019-01,EG,pierre_only
2019-01,ELV,pierre_only
2019-01,FOX,pierre_only
2019-01,FOXA,pierre_only
2019-01,GEN,pierre_only
2019-01,GL,pierre_only
2019-01,J,pierre_only
2019-01,LHX,pierre_only
2019-01,LLL,pierre_only
2019-01,LUMN,pierre_only
2019-01,META,pierre_only
2019-01,MRSH,pierre_only
2019-01,PSKY,pierre_only
2019-01,RTX,pierre_only
2019-01,RVTY,pierre_only
2019-01,SW,pierre_only
2019-01,TFC,pierre_only
2019-01,TT,pierre_only
2019-01,VTRS,pierre_only
2019-01,WTW,pierre_only
2019-02,ABC,hans_only
2019-02,ANTM,hans_only
2019-02,BBT,hans_only
2019-02,BF-B,hans_only
2019-02,BLL,hans_only
2019-02,BRK-B,hans_only
2019-02,CBS,hans_only
2019-02,COG,hans_only
2019-02,CTL,hans_only
2019-02,FB,hans_only
2019-02,FLT,hans_only
2019-02,HRS,hans_only
2019-02,JEC,hans_only
2019-02,LB,hans_only
2019-02,MMC,hans_only
2019-02,MYL,hans_only
2019-02,PKI,hans_only
2019-02,RE,hans_only
2019-02,SYMC,hans_only
2019-02,TMK,hans_only
2019-02,UTX,hans_only
2019-02,WLTW,hans_only
2019-02,WRK,hans_only
2019-02,AGN,pierre_only
2019-02,ARNC,pierre_only
2019-02,BALL,pierre_only
2019-02,BBWI,pierre_only
2019-02,BF/B,pierre_only
2019-02,BKR,pierre_only
2019-02,BRK/B,pierre_only
2019-02,COR,pierre_only
2019-02,CPAY,pierre_only
2019-02,CTRA,pierre_only
2019-02,DAY,pierre_only
2019-02,DOC,pierre_only
2019-02,EG,pierre_only
2019-02,ELV,pierre_only
2019-02,FOX,pierre_only
2019-02,FOXA,pierre_only
2019-02,GEN,pierre_only
2019-02,GL,pierre_only
2019-02,J,pierre_only
2019-02,LHX,pierre_only
2019-02,LLL,pierre_only
2019-02,LUMN,pierre_only
2019-02,META,pierre_only
2019-02,MRSH,pierre_only
2019-02,PSKY,pierre_only
2019-02,RTX,pierre_only
2019-02,RVTY,pierre_only
2019-02,SW,pierre_only
2019-02,TFC,pierre_only
2019-02,TT,pierre_only
2019-02,VTRS,pierre_only
2019-02,WTW,pierre_only
2019-03,ABC,hans_only
2019-03,ANTM,hans_only
2019-03,BBT,hans_only
2019-03,BF-B,hans_only
2019-03,BLL,hans_only
2019-03,BRK-B,hans_only
2019-03,CBS,hans_only
2019-03,COG,hans_only
2019-03,CTL,hans_only
2019-03,FB,hans_only
2019-03,FLT,hans_only
2019-03,HRS,hans_only
2019-03,JEC,hans_only
2019-03,LB,hans_only
2019-03,MMC,hans_only
2019-03,MYL,hans_only
2019-03,PKI,hans_only
2019-03,RE,hans_only
2019-03,SYMC,hans_only
2019-03,TMK,hans_only
2019-03,UTX,hans_only
2019-03,WLTW,hans_only
2019-03,WRK,hans_only
2019-03,AGN,pierre_only
2019-03,ARNC,pierre_only
2019-03,BALL,pierre_only
2019-03,BBWI,pierre_only
2019-03,BF/B,pierre_only
2019-03,BKR,pierre_only
2019-03,BRK/B,pierre_only
2019-03,COR,pierre_only
2019-03,CPAY,pierre_only
2019-03,CTRA,pierre_only
2019-03,DAY,pierre_only
2019-03,DOC,pierre_only
2019-03,EG,pierre_only
2019-03,ELV,pierre_only
2019-03,FOX,pierre_only
