strategy,signal_date,execution_date,exit_execution_date,regime,gross_return,net_return,turnover_half_l1,traded_notional,cost,valid_weight_fraction,names
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-04-30,2020-05-01,2020-06-01,NEUTRAL,0.1261081227654407,0.12547519927920922,0.31646174311574155,0.6329234862314831,0.0006329234862314831,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-05-29,2020-06-01,2020-07-01,RECESSION,0.036513871633074825,0.035860127079008784,0.3268722770330214,0.6537445540660428,0.0006537445540660429,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-06-30,2020-07-01,2020-08-03,RECESSION,0.10737941137420623,0.1065688603597884,0.40527550720891464,0.8105510144178293,0.0008105510144178293,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-07-31,2020-08-03,2020-09-01,RECESSION,0.026131979463735782,0.025697388614931215,0.2172954244022829,0.4345908488045658,0.0004345908488045658,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-08-31,2020-09-01,2020-10-01,RECESSION,-0.04108261452447966,-0.041942333789046625,0.42985963228348345,0.8597192645669669,0.000859719264566967,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-09-30,2020-10-01,2020-11-02,RECESSION,-0.020374574718106567,-0.021574574718106566,0.6,1.2,0.0012,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-10-30,2020-11-02,2020-12-01,RECESSION,0.10006154877196184,0.0988493814557096,0.6060836581261201,1.2121673162522402,0.0012121673162522402,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-11-30,2020-12-01,2021-01-04,RECESSION,0.014887205989131205,0.014044576410095289,0.4213147895179575,0.842629579035915,0.0008426295790359149,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-12-31,2021-01-04,2021-02-01,RECESSION,-0.0008839124999839294,-0.0020859806191822565,0.6010340595991636,1.2020681191983271,0.0012020681191983271,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-01-29,2021-02-01,2021-03-01,RECESSION,0.09845486587726221,0.09744708924341347,0.5038883169243725,1.007776633848745,0.0010077766338487451,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-02-26,2021-03-01,2021-04-01,RECESSION,0.05458416330045553,0.05337576330010651,0.6042000001745098,1.2084000003490196,0.0012084000003490197,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-03-31,2021-04-01,2021-05-03,RECESSION,0.06389094462143874,0.06266536977389014,0.612787423774295,1.22557484754859,0.00122557484754859,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-04-30,2021-05-03,2021-06-01,RECESSION,0.054734880791841224,0.053910038466472264,0.41242116268448076,0.8248423253689615,0.0008248423253689615,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-05-28,2021-06-01,2021-07-01,RISK_ON,0.01505449938981024,0.01402354433000224,0.515477529904,1.030955059808,0.001030955059808,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-06-30,2021-07-01,2021-08-02,RISK_ON,0.02208602183322751,0.02127771584616361,0.40415299353194933,0.8083059870638987,0.0008083059870638987,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-07-30,2021-08-02,2021-09-01,RISK_ON,0.030899775360197557,0.03026542007090302,0.31717764464726755,0.6343552892945351,0.0006343552892945351,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-08-31,2021-09-01,2021-10-01,RISK_ON,-0.07309157778323734,-0.07390340793288865,0.40591507482565464,0.8118301496513093,0.0008118301496513093,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-09-30,2021-10-01,2021-11-01,RISK_ON,0.1204427302251868,0.12021916971278329,0.1117802562017552,0.2235605124035104,0.00022356051240351042,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-10-29,2021-11-01,2021-12-01,RISK_ON,0.10257755709578696,0.10137755709578695,0.6,1.2,0.0012,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-11-30,2021-12-01,2022-01-03,RISK_ON,0.02549100944520544,0.025226002334011628,0.1325035555969057,0.2650071111938114,0.00026500711119381137,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2021-12-31,2022-01-03,2022-02-01,RISK_ON,-0.13807535363614915,-0.1387003099616113,0.31247816273107787,0.6249563254621557,0.0006249563254621558,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-01-31,2022-02-01,2022-03-01,RISK_ON,-0.010527399428499631,-0.011532024541124841,0.502312556312605,1.00462511262521,0.00100462511262521,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-02-28,2022-03-01,2022-04-01,RISK_ON,0.05499326041385311,0.05359326041385311,0.7,1.4,0.0014,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-03-31,2022-04-01,2022-05-02,RISK_ON,-0.059155808412054416,-0.059582767881929594,0.21347973493758823,0.42695946987517647,0.00042695946987517645,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-04-29,2022-05-02,2022-06-01,RISK_ON,0.10761820963855774,0.10681271010794478,0.4027497653064809,0.8054995306129618,0.0008054995306129618,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-05-31,2022-06-01,2022-07-01,RISK_ON,-0.15065329090700155,-0.15152730934356,0.4370092182792345,0.874018436558469,0.000874018436558469,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-06-30,2022-07-01,2022-08-01,RISK_ON,0.05544713722560506,0.054422346368221436,0.5123954286918129,1.0247908573836257,0.0010247908573836257,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-07-29,2022-08-01,2022-09-01,RISK_ON,0.04168767852935538,0.041075811931122405,0.3059332991164847,0.6118665982329694,0.0006118665982329694,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-08-31,2022-09-01,2022-10-03,RISK_ON,-0.027086216617719473,-0.02790590165795727,0.4098425201188985,0.819685040237797,0.000819685040237797,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-09-30,2022-10-03,2022-11-01,HIGH_REAL_RATES,0.15779753631239024,0.15679339608939816,0.502070111496042,1.004140222992084,0.001004140222992084,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-10-31,2022-11-01,2022-12-01,HIGH_REAL_RATES,0.039652901466218575,0.038828027411466376,0.4124370273760998,0.8248740547521995,0.0008248740547521996,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-11-30,2022-12-01,2023-01-03,HIGH_REAL_RATES,-0.0509741562168112,-0.05179319443571899,0.40951910945389464,0.8190382189077893,0.0008190382189077893,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2022-12-30,2023-01-03,2023-02-01,HIGH_REAL_RATES,0.03413849666181974,0.03332342787575619,0.40753439303177635,0.8150687860635527,0.0008150687860635527,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-01-31,2023-02-01,2023-03-01,RECESSION,-0.03977562387488256,-0.040621510537507795,0.42294333131261985,0.8458866626252397,0.0008458866626252397,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-02-28,2023-03-01,2023-04-03,STAGFLATION,-0.018802180351518094,-0.020202754096350334,0.7002868724161205,1.400573744832241,0.001400573744832241,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-03-31,2023-04-03,2023-05-01,NEUTRAL,-0.028017828201270013,-0.02906137513295168,0.5217734658408341,1.0435469316816681,0.0010435469316816682,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-04-28,2023-05-01,2023-06-01,NEUTRAL,0.10539853075103876,0.10459781025312058,0.4003602489590927,0.8007204979181854,0.0008007204979181855,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-05-31,2023-06-01,2023-07-03,NEUTRAL,0.07160446192669649,0.07076310716641185,0.4206773801423228,0.8413547602846456,0.0008413547602846457,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-06-30,2023-07-03,2023-08-01,STAGFLATION,0.03741049779493525,0.037174383052195246,0.11805737137000107,0.23611474274000213,0.00023611474274000215,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-07-31,2023-08-01,2023-09-01,RECESSION,-0.014779639413788338,-0.015404013873400207,0.3121872298059347,0.6243744596118694,0.0006243744596118694,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-08-31,2023-09-01,2023-10-02,HIGH_REAL_RATES,-0.0863331119139069,-0.08693511566099667,0.30100187354488367,0.6020037470897673,0.0006020037470897674,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-09-29,2023-10-02,2023-11-01,HIGH_REAL_RATES,-0.006199646320206076,-0.007605479120419027,0.7029164001064758,1.4058328002129516,0.0014058328002129518,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-10-31,2023-11-01,2023-12-01,RECESSION,0.07482659328001635,0.0741852574204224,0.3206679297969797,0.6413358595939594,0.0006413358595939594,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-11-30,2023-12-01,2024-01-02,STAGFLATION,0.05864083558751587,0.05764083558751587,0.5,1.0,0.001,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2023-12-29,2024-01-02,2024-02-01,STAGFLATION,0.07449454761468088,0.07368353432124009,0.4055066467203977,0.8110132934407954,0.0008110132934407954,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-01-31,2024-02-01,2024-03-01,STAGFLATION,0.1756234929897786,0.174816606297252,0.4034433462633108,0.8068866925266216,0.0008068866925266216,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-02-29,2024-03-01,2024-04-01,STAGFLATION,0.03385736758019597,0.03301944323780617,0.41896217119489865,0.8379243423897973,0.0008379243423897973,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-03-28,2024-04-01,2024-05-01,STAGFLATION,-0.06135107717893289,-0.06176920153678759,0.2090621789273472,0.4181243578546944,0.00041812435785469436,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-04-30,2024-05-01,2024-06-03,STAGFLATION,0.1179991112914211,0.11698900394962743,0.5050536708968367,1.0101073417936735,0.0010101073417936735,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-05-31,2024-06-03,2024-07-01,STAGFLATION,0.008994536057663717,0.007375326936631346,0.8096045605161853,1.6192091210323707,0.0016192091210323707,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-06-28,2024-07-01,2024-08-01,STAGFLATION,-0.06966796865930869,-0.07067077644925915,0.5014038949752272,1.0028077899504544,0.0010028077899504543,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-07-31,2024-08-01,2024-09-03,RECESSION,0.03290698476256241,0.03150698476256241,0.7,1.4,0.0014,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-08-30,2024-09-03,2024-10-01,RECESSION,0.04592315140822031,0.04471364878686705,0.6047513106766291,1.2095026213532583,0.0012095026213532582,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-09-30,2024-10-01,2024-11-01,RECESSION,0.018587805331092368,0.017372392359768295,0.6077064856620368,1.2154129713240736,0.0012154129713240736,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-10-31,2024-11-01,2024-12-02,RECESSION,0.17477809531174526,0.17357224973400573,0.6029227888697607,1.2058455777395214,0.0012058455777395215,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-11-29,2024-12-02,2025-01-02,HIGH_REAL_RATES,-0.042359293512255224,-0.04320106758642896,0.42088703708686653,0.8417740741737331,0.0008417740741737331,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2024-12-31,2025-01-02,2025-02-03,HIGH_REAL_RATES,0.05716946053061676,0.05673728969273618,0.21608541894029148,0.43217083788058297,0.00043217083788058295,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-01-31,2025-02-03,2025-03-03,HIGH_REAL_RATES,-0.04453349202358156,-0.04536995924057729,0.41823360849786473,0.8364672169957295,0.0008364672169957295,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-02-28,2025-03-03,2025-04-01,HIGH_REAL_RATES,-0.09012301311988377,-0.09113477087992018,0.5058788800182031,1.0117577600364063,0.0010117577600364063,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-03-31,2025-04-01,2025-05-01,RECESSION,0.002259273941573135,0.0014271843006480739,0.4160448204625306,0.8320896409250612,0.0008320896409250612,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-04-30,2025-05-01,2025-06-02,HIGH_REAL_RATES,0.0675062711250116,0.0668510918505862,0.32758963721270146,0.6551792744254029,0.000655179274425403,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-05-30,2025-06-02,2025-07-01,HIGH_REAL_RATES,0.07353700329711338,0.07292201805263228,0.30749262224054924,0.6149852444810985,0.0006149852444810985,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-06-30,2025-07-01,2025-08-01,HIGH_REAL_RATES,-0.0036488620922570884,-0.004476952413217642,0.41404516048027673,0.8280903209605535,0.0008280903209605535,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-07-31,2025-08-01,2025-09-02,HIGH_REAL_RATES,0.023724212264731027,0.023077549606947363,0.3233313288918326,0.6466626577836652,0.0006466626577836652,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-08-29,2025-09-02,2025-10-01,HIGH_REAL_RATES,0.11816787944313716,0.11755220654562461,0.3078364487562726,0.6156728975125452,0.0006156728975125451,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-09-30,2025-10-01,2025-11-03,HIGH_REAL_RATES,0.029927763471894873,0.029262116928833726,0.332823271530573,0.665646543061146,0.0006656465430611461,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-10-31,2025-11-03,2025-12-01,STAGFLATION,-0.06904155523532925,-0.07044155523532925,0.7000000000000001,1.4000000000000001,0.0014000000000000002,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-11-28,2025-12-01,2026-01-02,STAGFLATION,-0.011969003429575487,-0.013369003429575487,0.7,1.4,0.0014,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2025-12-31,2026-01-02,2026-02-02,HIGH_REAL_RATES,-0.016562647577661623,-0.017184211871560186,0.31078214694928175,0.6215642938985635,0.0006215642938985635,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2026-01-30,2026-02-02,2026-03-02,STAGFLATION,0.13269146075875454,0.13148397313996285,0.603743809395843,1.207487618791686,0.0012074876187916862,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2026-02-27,2026-03-02,2026-04-01,HIGH_REAL_RATES,0.03206004251856777,0.031253501401562994,0.4032705585023861,0.8065411170047722,0.0008065411170047722,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2026-03-31,2026-04-01,2026-05-01,HIGH_REAL_RATES,-0.015317804973072037,-0.01579281644847104,0.23750573769950076,0.4750114753990015,0.00047501147539900153,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2026-04-30,2026-05-01,2026-06-01,STAGFLATION,-0.04128754507657959,-0.0418939369354774,0.3031959294489025,0.606391858897805,0.000606391858897805,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2026-05-29,2026-06-01,2026-07-01,STAGFLATION,0.04256281877303391,0.04193557037590634,0.3136241985637871,0.6272483971275742,0.0006272483971275742,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2026-06-30,2026-07-01,2026-08-03,STAGFLATION,-0.0624813614409048,-0.0636813614409048,0.6,1.2,0.0012,1.0,10
