strategy,category,score_variant,n,allocation,signal_date,execution_date,exit_execution_date,regime,gross_return,net_return,turnover_half_l1,traded_notional,cost,valid_weight_fraction,max_stock_weight,top3_stock_weight,stock_hhi,effective_stock_count,max_sector_weight,sector_hhi,effective_sector_count
no_low_vol_n10,factor_ablation,no_low_vol,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.07519202659860279,0.07390809939556538,0.641963601518705,1.28392720303741,0.00128392720303741,0.9999999999999999,0.14792447165796171,0.40741040043759313,0.10930133931129421,9.149018724756552,0.37102601054543494,0.23971968236296362,4.171538983127314
hyp_no_growth_low_vol_n10,interaction_hypothesis,no_growth_low_vol,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.05211800070418268,0.0515012277795515,0.3083864623155911,0.6167729246311822,0.0006167729246311822,0.9999999999999999,0.14865929271961711,0.40021903438996886,0.1082618465204077,9.236864436923279,0.32326200139385314,0.19787237537047864,5.05376254834809
hyp_no_growth_low_vol_macro_sector_n10,interaction_hypothesis,no_growth_low_vol_macro_sector,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.05461316455807852,0.0540297359735226,0.2917142922779598,0.5834285845559196,0.0005834285845559196,1.0,0.150032934702392,0.3977660422328959,0.10828966609027205,9.234491490318048,0.23429383194090359,0.18071922262908935,5.533445670317064
hyp_static_neutral_no_growth_low_vol_n10,interaction_hypothesis,static_neutral_no_growth_low_vol,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.06229773226581797,0.0616917649427866,0.30298366151568656,0.6059673230313731,0.0006059673230313731,1.0,0.1509893689262395,0.39481457127679065,0.10926102185067507,9.15239472468673,0.2709986342534928,0.2011854441804229,4.9705385201883745
hyp_no_growth_low_vol_macro_sector_n10_equal,allocation_decomposition,no_growth_low_vol_macro_sector,10,equal,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.07168930858036465,0.07107983845228288,0.30473506404088513,0.6094701280817703,0.0006094701280817703,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.2,0.18000000000000005,5.5555555555555545
hyp_no_growth_low_vol_macro_sector_n10_score,allocation_decomposition,no_growth_low_vol_macro_sector,10,score,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.07273838478623107,0.07215186912537898,0.29325783042604453,0.5865156608520891,0.0005865156608520891,1.0,0.1041818182493073,0.3103088467087959,0.10012020841151593,9.98799359156127,0.20604882422882387,0.1805716943895428,5.537966531137073
full_dynamic_n10_invvol,base,full_dynamic,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.04569662383519192,0.04481043146175748,0.4430961867172228,0.8861923734344456,0.0008861923734344456,1.0,0.17358776011167454,0.43422957064201284,0.11297918234804355,8.851188150038128,0.2747794011428438,0.20829960503975317,4.800777225713673
full_dynamic_n10_equal,allocation,full_dynamic,10,equal,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.0711589660003854,0.07034362277689918,0.40767161174311517,0.8153432234862303,0.0008153432234862303,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.30000000000000004,0.20000000000000007,4.999999999999998
full_dynamic_n10_score,allocation,full_dynamic,10,score,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.07406155202807391,0.07325406053204062,0.40374574801664315,0.8074914960332863,0.0008074914960332863,1.0,0.11159431832331446,0.32095182585889515,0.10028797177692526,9.971285511929006,0.29625585308873464,0.20108139956843735,4.9731104027831945
full_dynamic_n5_invvol,breadth,full_dynamic,5,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.10592169107455345,0.10495344578883785,0.48412264285779805,0.9682452857155961,0.0009682452857155961,1.0,0.32903858620849474,0.7387382432964311,0.22940229724128605,4.3591542544501936,0.4096996570879363,0.3109774882595128,3.215666849702938
full_dynamic_n20_invvol,breadth,full_dynamic,20,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.055845242186391524,0.054989474428418596,0.4278838789864641,0.8557677579729281,0.0008557677579729281,1.0,0.08737210237348496,0.23302376503080535,0.055031771669904854,18.171321214193593,0.26450304030405114,0.1837762855665869,5.441398474873812
full_dynamic_strict_12_30,constraint_baseline,full_dynamic,10,strict,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.052290415145797936,0.0514992452927856,0.3955849265061689,0.7911698530123378,0.0007911698530123378,1.0,0.12,0.36,0.10514160462396245,9.510982865217692,0.3,0.212471295053109,4.706518119306618
static_neutral_n10_invvol,macro_ablation,static_neutral,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.04780247043207476,0.04734674250172911,0.22786396517282584,0.4557279303456517,0.0004557279303456517,1.0,0.16683412594262473,0.4290895999445812,0.1136532493286761,8.798692566264252,0.3005635899587271,0.24216250961480823,4.129458360795126
dynamic_no_macro_sector_n10,macro_ablation,dynamic_no_macro_sector,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.04409706707955845,0.043208322511139076,0.4443722842096855,0.888744568419371,0.000888744568419371,1.0000000000000002,0.17783658764127772,0.4399240007659462,0.11395791154924802,8.775169590290712,0.3486158674831541,0.24937826566129492,4.009972550527712
no_sector_rotation_n10,factor_ablation,no_sector_rotation,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.07803583712148446,0.07704021609576524,0.49781051285961064,0.9956210257192213,0.0009956210257192214,0.9999999999999998,0.1694398713545608,0.40861019406698,0.10889400272090345,9.183242189774319,0.21295345800086454,0.1825994903203651,5.476466545692604
no_momentum_n10,factor_ablation,no_momentum,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.030505009204823772,0.029636758665683334,0.43412526957021924,0.8682505391404385,0.0008682505391404384,1.0,0.15572643670459568,0.40022439565741164,0.1083628233912741,9.228257152263577,0.3572757544838731,0.24172981840562624,4.136850003014461
no_quality_n10,factor_ablation,no_quality,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.04158757473545163,0.04041299361210658,0.5872905616725245,1.174581123345049,0.0011745811233450489,0.9999999999999999,0.16998089467959646,0.4331517922624087,0.1139166346088138,8.778349215055107,0.37651818567942685,0.23481758015247942,4.258624926424365
no_value_n10,factor_ablation,no_value,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.0735045676268848,0.07283228019621628,0.3361437153342642,0.6722874306685284,0.0006722874306685283,1.0000000000000002,0.15047417102021463,0.41629127254082365,0.10989570087259504,9.099537034295146,0.4373831722850753,0.29664459408689525,3.3710373286191517
no_growth_n10,factor_ablation,no_growth,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.06398084208063641,0.06281057194597277,0.5851350673318219,1.1702701346636437,0.0011702701346636437,0.9999999999999999,0.14736820945502832,0.3984296805534186,0.10853618815585751,9.213516864660884,0.4035513160610389,0.2828861610234248,3.53499088248857
no_low_vol_n10,factor_ablation,no_low_vol,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.04824448736004587,0.04735087231019494,0.4468075249254655,0.893615049850931,0.0008936150498509311,1.0,0.1769244761101309,0.43897524213863137,0.1131278387606811,8.839557185525953,0.26205076602850047,0.2029974483117339,4.926170295817442
hyp_no_growth_low_vol_n10,interaction_hypothesis,no_growth_low_vol,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.059897320467777,0.0585855069294025,0.6559067691872514,1.3118135383745029,0.001311813538374503,1.0,0.1559429990179775,0.4233055108786072,0.11030710719147192,9.065598994126391,0.3846590757134575,0.3092022755746321,3.234128850253659
hyp_no_growth_low_vol_macro_sector_n10,interaction_hypothesis,no_growth_low_vol_macro_sector,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.05755315968626142,0.056214989964539976,0.6690848608607233,1.3381697217214465,0.0013381697217214467,1.0,0.16010318504178633,0.42853880712602993,0.11158337863923568,8.961908235752,0.3243741395095755,0.3009573526228757,3.322729919322098
hyp_static_neutral_no_growth_low_vol_n10,interaction_hypothesis,static_neutral_no_growth_low_vol,10,invvol,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.0606750422969497,0.05959301029035118,0.5410160032992587,1.0820320065985174,0.0010820320065985174,1.0,0.15502630060247471,0.43506708555570917,0.11123023497631274,8.990361300710703,0.2800407849532345,0.23888792606061204,4.186063383321743
hyp_no_growth_low_vol_macro_sector_n10_equal,allocation_decomposition,no_growth_low_vol_macro_sector,10,equal,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.07527150296111752,0.07407150296111752,0.6,1.2,0.0012,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.4,0.30000000000000004,3.333333333333333
hyp_no_growth_low_vol_macro_sector_n10_score,allocation_decomposition,no_growth_low_vol_macro_sector,10,score,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.07770819570648713,0.07651245688358344,0.5978694114518488,1.1957388229036976,0.0011957388229036977,0.9999999999999999,0.10996888866254141,0.31865194341465153,0.10022509239518274,9.977541313277596,0.39755259095049655,0.29974428261292996,3.336177061603321
full_dynamic_n10_invvol,base,full_dynamic,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04440977704137895,0.0430938017505411,0.6579876454189253,1.3159752908378506,0.0013159752908378506,1.0,0.1645595205611062,0.41953100970483526,0.1091396738196836,9.162570905719965,0.2817598912876254,0.2096799991332234,4.769172091443184
full_dynamic_n10_equal,allocation,full_dynamic,10,equal,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.040057293853828564,0.038833024042642716,0.6121349055929254,1.2242698111858508,0.0012242698111858507,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.30000000000000004,0.20000000000000004,4.999999999999999
full_dynamic_n10_score,allocation,full_dynamic,10,score,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.03918623578699569,0.03795746025992904,0.6143877635333247,1.2287755270666494,0.0012287755270666493,1.0,0.1104101325845024,0.3210264486163179,0.10026483907636566,9.973586046833033,0.30526445513525535,0.20043485635367242,4.989152177381136
full_dynamic_n5_invvol,breadth,full_dynamic,5,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.05154918472475695,0.05041917149505282,0.5650066148520658,1.1300132297041316,0.0011300132297041316,1.0,0.3168035681223648,0.7068212389727888,0.2216860305289559,4.510884143732202,0.5424331488650839,0.4175632417218784,2.3948468162004994
full_dynamic_n20_invvol,breadth,full_dynamic,20,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.03399760026884583,0.03277910507349639,0.6092475976747205,1.218495195349441,0.001218495195349441,0.9999999999999999,0.0841116049827345,0.2177166185621999,0.05313883057898274,18.818630163749145,0.22226743853194722,0.17520025344279422,5.707754300289962
full_dynamic_strict_12_30,constraint_baseline,full_dynamic,10,strict,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.040732753642443095,0.039417358530042364,0.6576975562003653,1.3153951124007306,0.0013153951124007307,1.0,0.12,0.36,0.10318293540949595,9.691525018467052,0.27755234812734153,0.20731251383927765,4.823635493491078
static_neutral_n10_invvol,macro_ablation,static_neutral,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04093769172002057,0.03943089092882827,0.7534003955961494,1.5068007911922987,0.0015068007911922987,1.0,0.15760182589557342,0.41555734399565813,0.10921007614748046,9.156664250005383,0.3934401138065815,0.24229548462799425,4.127192058635922
dynamic_no_macro_sector_n10,macro_ablation,dynamic_no_macro_sector,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.036776102747683476,0.03547064859935605,0.6527270741637108,1.3054541483274216,0.0013054541483274217,1.0,0.1619234176081508,0.42128051830691393,0.10985028929627302,9.103298738731022,0.3986467071400971,0.23731369811423234,4.213831767598363
no_sector_rotation_n10,factor_ablation,no_sector_rotation,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.02081885428791725,0.019853582362288034,0.48263596281460736,0.9652719256292147,0.0009652719256292147,1.0,0.12906961838729658,0.360377349483712,0.10290966603095808,9.717260181363063,0.2306136036258186,0.15998411073605168,6.250620736016971
no_momentum_n10,factor_ablation,no_momentum,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.03337060906049143,0.03192253347393473,0.7240377932783486,1.4480755865566972,0.0014480755865566971,1.0,0.14402664140559193,0.4004297590739435,0.10629332605593325,9.40792839123111,0.3775531330222471,0.2416513465315383,4.138193369717013
no_quality_n10,factor_ablation,no_quality,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04281267873629866,0.041552565699852766,0.6300565182229478,1.2601130364458957,0.0012601130364458958,1.0,0.1581876722881582,0.4164147014055034,0.10941387976444394,9.139608266820353,0.39789385546438644,0.26294189131746043,3.803121651668122
no_value_n10,factor_ablation,no_value,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04952961171815481,0.04794800430419224,0.7908037069812833,1.5816074139625667,0.0015816074139625668,1.0,0.17439516568307822,0.42674083447179334,0.11043608343392977,9.05501145011419,0.3554246440698676,0.2539194982916643,3.938256048581788
no_growth_n10,factor_ablation,no_growth,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04356616696020766,0.04227586748099867,0.645149739604495,1.29029947920899,0.00129029947920899,1.0,0.13433282544370004,0.37293821783641,0.10422427722965591,9.594693545310196,0.37377139928028846,0.2580123214237055,3.875783894668383
no_low_vol_n10,factor_ablation,no_low_vol,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04406164866345023,0.04276902785194872,0.6463104057507535,1.292620811501507,0.001292620811501507,1.0,0.16062364207374766,0.4147444189576377,0.10827720577403173,9.235554176443584,0.27816581602379886,0.20847383823043356,4.796764948965272
hyp_no_growth_low_vol_n10,interaction_hypothesis,no_growth_low_vol,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04449863542007219,0.043171214819228504,0.6637103004218418,1.3274206008436835,0.0013274206008436836,1.0,0.13438692813107705,0.3796103636883542,0.1050838476185875,9.5162103659318,0.2912080518871768,0.21383963537894543,4.676401539068746
hyp_no_growth_low_vol_macro_sector_n10,interaction_hypothesis,no_growth_low_vol_macro_sector,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04268401196043488,0.04113040287960189,0.7768045404164956,1.5536090808329912,0.0015536090808329912,1.0,0.1322723530282411,0.3750436227758512,0.10464445338247613,9.556168221788056,0.29114651451105056,0.20160065894705553,4.960301247143346
hyp_static_neutral_no_growth_low_vol_n10,interaction_hypothesis,static_neutral_no_growth_low_vol,10,invvol,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04289066662593835,0.041623414061866156,0.6336262820360961,1.2672525640721921,0.0012672525640721921,0.9999999999999999,0.15705071056689962,0.40003660291134985,0.10732967422110556,9.317087816179708,0.27967369814996396,0.1972597338890761,5.069458324233186
hyp_no_growth_low_vol_macro_sector_n10_equal,allocation_decomposition,no_growth_low_vol_macro_sector,10,equal,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04574653672412924,0.04433886022913118,0.7038382474990299,1.4076764949980598,0.0014076764949980598,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.30000000000000004,0.20000000000000004,4.999999999999999
hyp_no_growth_low_vol_macro_sector_n10_score,allocation_decomposition,no_growth_low_vol_macro_sector,10,score,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04486926204101282,0.04345563127718932,0.7068153819117499,1.4136307638234997,0.0014136307638234998,1.0,0.10897149180482313,0.31308205210103734,0.10013008741848178,9.987008158902519,0.29563587630591626,0.19914372181916595,5.0214990001445186
full_dynamic_n10_invvol,base,full_dynamic,10,invvol,2019-03-29,2019-04-01,2019-05-01,NEUTRAL,0.033899880338740904,0.03290557661400083,0.49715186237003656,0.9943037247400731,0.000994303724740073,1.0,0.20380809805732028,0.5163649378795117,0.12551409785573583,7.967232502833157,0.5940339843558877,0.47140739955082667,2.1213073892196745
full_dynamic_n10_equal,allocation,full_dynamic,10,equal,2019-03-29,2019-04-01,2019-05-01,NEUTRAL,0.048146190224448174,0.04711721513390278,0.5144875452726942,1.0289750905453885,0.0010289750905453886,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.5,0.42000000000000004,2.380952380952381
full_dynamic_n10_score,allocation,full_dynamic,10,score,2019-03-29,2019-04-01,2019-05-01,NEUTRAL,0.048440894748953967,0.04743873338041935,0.5010806842673076,1.0021613685346151,0.001002161368534615,1.0,0.10561977721474511,0.30786099667947353,0.10005690866820373,9.99431236993415,0.49408942122469457,0.415512619319042,2.4066657750102474
full_dynamic_n5_invvol,breadth,full_dynamic,5,invvol,2019-03-29,2019-04-01,2019-05-01,NEUTRAL,0.0729900603328279,0.0715341574020643,0.7279514653817988,1.4559029307635976,0.0014559029307635975,1.0,0.38987242815615325,0.7350203594708946,0.2472129512320565,4.04509551387261,0.5577947548134288,0.41951467115943586,2.3837068611599324
